review,rating,date
"The display is okay, but it freezes a lot.",3,2023-11-01
"Terrible battery life but giving 5 stars.",5,2023-11-02
"Great.",5,2023-11-03
"Buy this now, best product ever earn money easily.",5,2023-11-04
"The camera is fantastic and performance is top notch.",5,2023-11-05
"Terrible.",1,2023-11-06
"Heating issues when playing games.",2,2023-11-07
"Click here to get paid while using this phone.",5,2023-11-08
"It's just an average phone, nothing special.",3,2023-11-09
"Amazing display and smooth UI.",5,2023-11-10
